Mesa del Mar,28.505165965471978,-16.422886848449707,si,baja,alta,negra,no,no,no,no,si,si,http://www.sonniges-teneriffa.de/webcam/webcam_canellas_sonniges-teneriffa.php
El Pris,28.51012509426835,-16.421384811401367,no,baja,alta,negra,no,no,no,no,no,no,http://www.sonniges-teneriffa.de/webcam/webcam_canellas_sonniges-teneriffa.php
La Arena,28.35394230526438,-16.369667172257323,si,baja,alta,negra,no,si,si,si,si,si,""
El Alcalde,28.355906161591705,-16.36947637787671,no,baja,medio,negra,no,no,no,si,no,no,""
El Pozo,28.357643388829587,-16.368768274696777,no,baja,medio,piedras,no,no,no,no,no,no,""
La Hornilla,28.360117000291282,-16.36694437256665,no,baja,medio,negra,no,no,no,no,no,no,""
Punta Larga,28.368387129941308,-16.362084209831664,no,baja,alta,negra,no,no,no,si,si,no,""
Los Guios o Argel,28.2474274,-16.840424,si,baja,alta,negra,no,si,si,si,si,si,""
El Camisón,28.0639452,-16.730575600000065,no,baja,alta,negra,si,si,si,si,si,si,""
Las Vistas,28.050039,-16.717233999999962,no,baja,alta,blanca,si,si,si,si,si,si,"http://webcamftp.arona.org/webcam/webcam/LasVistas1.jpg"
Los Cristianos,28.050039,-16.717233999999962,no,baja,alta,blanca,no,si,si,si,si,si,"http://www.reveronhotels.com/webcams/reveron/current.jpg"
El Callao,28.0396244,-16.708548599999972,no,baja,alta,blanca,no,no,no,no,no,no,""
Las Galletas,28.0086864,-16.659929000000033,no,baja,alta,blanca,no,no,no,si,si,si,"http://webcamftp.arona.org/webcam/webcam/LasGalletas1.jpg"
Charco del baño,28.0086864,-16.659929000000033,no,baja,media,blanca,no,si,si,si,si,si,""
Jardín,28.4110894,-16.560798400000067,si,baja,alta,negra,no,si,si,si,si,si,""
San Juan,28.181263,-16.817625700000008,si,baja,alta,negra,no,si,si,si,si,si,""
Abama,28.1709783,-16.796781399999986,no,baja,alta,blanca,no,si,si,si,si,si,""
Alcalá,28.2026563,-16.828296799999976,no,baja,medio,negra,no,no,no,no,no,no,""
